series_id,series_name,group,date,value
commodity:wheat,輸入小麦 政府売渡価格,commodity,2021-04,100
commodity:wheat,輸入小麦 政府売渡価格,commodity,2021-10,121
commodity:wheat,輸入小麦 政府売渡価格,commodity,2022-04,130
commodity:wheat,輸入小麦 政府売渡価格,commodity,2022-10,138
commodity:wheat,輸入小麦 政府売渡価格,commodity,2023-04,126
commodity:wheat,輸入小麦 政府売渡価格,commodity,2023-10,112
commodity:wheat,輸入小麦 政府売渡価格,commodity,2024-04,112
commodity:wheat,輸入小麦 政府売渡価格,commodity,2024-10,107
commodity:wheat,輸入小麦 政府売渡価格,commodity,2025-04,102
commodity:wheat,輸入小麦 政府売渡価格,commodity,2025-10,101
commodity:wheat,輸入小麦 政府売渡価格,commodity,2026-04,100
commodity:crude,石油・石炭製品 企業物価指数（日銀CGPI実測）,commodity,2021-04,100
commodity:crude,石油・石炭製品 企業物価指数（日銀CGPI実測）,commodity,2021-10,116.9
commodity:crude,石油・石炭製品 企業物価指数（日銀CGPI実測）,commodity,2022-04,130.2
commodity:crude,石油・石炭製品 企業物価指数（日銀CGPI実測）,commodity,2022-10,120.2
commodity:crude,石油・石炭製品 企業物価指数（日銀CGPI実測）,commodity,2023-04,121.8
commodity:crude,石油・石炭製品 企業物価指数（日銀CGPI実測）,commodity,2023-10,120.7
commodity:crude,石油・石炭製品 企業物価指数（日銀CGPI実測）,commodity,2024-04,129.7
commodity:crude,石油・石炭製品 企業物価指数（日銀CGPI実測）,commodity,2024-10,127.4
commodity:crude,石油・石炭製品 企業物価指数（日銀CGPI実測）,commodity,2025-04,136.2
commodity:crude,石油・石炭製品 企業物価指数（日銀CGPI実測）,commodity,2025-10,126.5
commodity:crude,石油・石炭製品 企業物価指数（日銀CGPI実測）,commodity,2026-04,143.5
commodity:sugar,粗糖 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2021-04,100
commodity:sugar,粗糖 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2021-10,124.5
commodity:sugar,粗糖 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2022-04,142.8
commodity:sugar,粗糖 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2022-10,165.1
commodity:sugar,粗糖 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2023-04,166.4
commodity:sugar,粗糖 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2023-10,210.7
commodity:sugar,粗糖 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2024-04,189.6
commodity:sugar,粗糖 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2024-10,170.1
commodity:sugar,粗糖 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2025-04,163
commodity:sugar,粗糖 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2025-10,141.3
commodity:sugar,粗糖 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2026-04,136.7
commodity:cacao,コーヒー豆・カカオ豆 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2021-04,100
commodity:cacao,コーヒー豆・カカオ豆 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2021-10,141.2
commodity:cacao,コーヒー豆・カカオ豆 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2022-04,211.7
commodity:cacao,コーヒー豆・カカオ豆 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2022-10,229.1
commodity:cacao,コーヒー豆・カカオ豆 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2023-04,164.9
commodity:cacao,コーヒー豆・カカオ豆 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2023-10,201.2
commodity:cacao,コーヒー豆・カカオ豆 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2024-04,244.6
commodity:cacao,コーヒー豆・カカオ豆 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2024-10,320.8
commodity:cacao,コーヒー豆・カカオ豆 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2025-04,410.2
commodity:cacao,コーヒー豆・カカオ豆 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2025-10,357
commodity:cacao,コーヒー豆・カカオ豆 輸入物価指数（円ベース・日銀CGPI実測）,commodity,2026-04,413.8
commodity:milk,原乳 企業物価指数（日銀CGPI実測）,commodity,2021-04,100
commodity:milk,原乳 企業物価指数（日銀CGPI実測）,commodity,2021-10,100.7
commodity:milk,原乳 企業物価指数（日銀CGPI実測）,commodity,2022-04,100
commodity:milk,原乳 企業物価指数（日銀CGPI実測）,commodity,2022-10,100.7
commodity:milk,原乳 企業物価指数（日銀CGPI実測）,commodity,2023-04,109.9
commodity:milk,原乳 企業物価指数（日銀CGPI実測）,commodity,2023-10,115.7
commodity:milk,原乳 企業物価指数（日銀CGPI実測）,commodity,2024-04,117.1
commodity:milk,原乳 企業物価指数（日銀CGPI実測）,commodity,2024-10,117.7
commodity:milk,原乳 企業物価指数（日銀CGPI実測）,commodity,2025-04,116.5
commodity:milk,原乳 企業物価指数（日銀CGPI実測）,commodity,2025-10,122.3
commodity:milk,原乳 企業物価指数（日銀CGPI実測）,commodity,2026-04,121.9
commodity:pulp,パルプ・紙・同製品 企業物価指数（日銀CGPI実測）,commodity,2021-04,100
